市场,代码,均匀_累计收益,均匀_最大回撤,均匀_夏普比率,PT_累计收益,PT_最大回撤,PT_夏普比率
深市,000568,-0.06959794886022597,-0.3202294522594117,0.043754982630381585,-0.005420496722760015,-0.3052423698814122,0.12601631891995146
深市,000776,0.27753617011458775,-0.28434943046163386,0.37485227705677565,0.10810292189058623,-0.37161258260600477,0.2255691453693987
深市,002714,-0.3951025868113699,-0.4532187555283161,-0.5144032347350672,-0.28696983342029303,-0.32548736791067534,-0.26201939283357084
深市,000895,0.011995246519091785,-0.2876673259332061,0.09372963140359264,0.22588802714776546,-0.22563121790886648,0.38743655395959026
深市,002230,0.43052946159656713,-0.4712661720441755,0.43173996731236586,0.3615336585794746,-0.5869320272590222,0.38877367269086344
深市,000166,0.1795419419876696,-0.2907052798502011,0.31227167089311986,-0.004679538656468973,-0.3138414127422555,0.09101236213481396
深市,000063,0.2268893413077906,-0.31122355279181046,0.3157416839650944,0.17458886234989834,-0.4439154732210542,0.28910496771890265
深市,001979,-0.26027233389679083,-0.41636534651605617,-0.11809266212157855,-0.3540585596215271,-0.5004338925799379,-0.20006518721948732
深市,002027,-0.15635533435389803,-0.33782115092377707,-0.07470815368285763,-0.39188636930813947,-0.49947189910514644,-0.36536166232463185
科创板,688981,1.9665162600742434,-0.2901919996966588,0.8794541009014374,2.4632379327142693,-0.3161145974345042,0.9529597090529813
科创板,688012,0.9278049647146795,-0.42055060791082466,0.6175401297466614,1.3016206243859916,-0.4422985127456095,0.717695740106923
科创板,688036,-0.01806951620816344,-0.37467333775916545,0.16641742012095517,0.06538568078724238,-0.47205027991739906,0.23789538822062378
科创板,688111,0.10586536926071521,-0.5021527127604473,0.255883997802517,-0.1090757238038953,-0.5570100133703006,0.1458024527769025
科创板,688008,1.3530747648231158,-0.45799323293401495,0.7131724910297766,2.2591077712249703,-0.480451369308257,0.8869910219660707
科创板,688256,15.760186798735472,-0.5269187666143385,1.424794828165558,9.803903667652197,-0.6021652389150274,1.2293942919661813
科创板,688041,1.0115145003501205,-0.5485260271512277,0.6399194421906188,1.8346550231772647,-0.6110670816636712,0.8175893408815447
科创板,688187,-0.18084839846491907,-0.5400309111903608,-0.010451728216242665,-0.27582753084471145,-0.6206698410043999,-0.06802179934539206
科创板,688063,0.3923478074982236,-0.7666153098359754,0.3989356953529399,0.5124627342522852,-0.732334726571096,0.44680928474990295
科创板,688271,-0.17401669325648994,-0.3531150004739062,-0.10924688654380883,-0.31066524293153297,-0.3802964278905159,-0.25822946054602497
科创板,688114,-0.1944461639977827,-0.4133650042846999,-0.029633055894598994,-0.3628425820704462,-0.5392493697660344,-0.16045851701158884
科创板,688009,0.4020307034068211,-0.22909192035395698,0.48869739860375344,0.005747468692563817,-0.3637190890084774,0.12445594013292054
科创板,688599,-0.08949989217362542,-0.5119528924956677,0.13110670659336993,-0.5113101993501942,-0.6413706889644248,-0.22759762025548194
科创板,688208,-0.05495291740534092,-0.5412548307507089,0.14591132759110584,0.25901794650430077,-0.5633768504983102,0.3397290348749656
科创板,688002,2.3706805170680103,-0.47920122930315595,1.0070527334656312,1.866548627084645,-0.5994935989012925,0.8607398529484818
科创板,688126,0.323881268100249,-0.4286532450556499,0.364118088027219,0.09880770887169055,-0.4663042196683969,0.2451633559707504
科创板,688220,1.1528442203191531,-0.36983337039223013,0.6575894629713052,1.226044667958793,-0.4903068926820608,0.6540812925492172
科创板,688037,0.8596984173187963,-0.5255923212219914,0.5465978526117017,2.0402397264387058,-0.4701882322945709,0.7595375058807375
科创板,688052,0.28419203235774293,-0.47437156089602056,0.3614207043435409,0.08310396860097202,-0.5921457924722611,0.2707105339680284
科创板,688303,0.24218777322309748,-0.44134215064230886,0.32106308509156156,-0.20996325102337632,-0.46224014684769515,0.032522337743244804
